Date,Month,Year,Daily Mean Temperature (0900-0900) (øC),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction,
01/05/2015,5.00,2015,9.6,3.4,0,14,Moderate,33,95,8,2000,1007,110,ESE,110,ESE,
02/05/2015,5.00,2015,10.8,13.2,0,13,Moderate,37,100,8,500,1002,150,SSE,120,ESE,
03/05/2015,5.00,2015,12.4,0.2,0.4,13,Moderate,29,100,8,600,997,240,WSW,210,SSW,
04/05/2015,5.00,2015,9.8,12.8,3.8,9,Light,23,99,6,1000,999,140,SE,120,ESE,
05/05/2015,5.00,2015,10.9,2.2,5.2,18,Fresh,43,99,6,1100,995,240,WSW,220,SW,
06/05/2015,5.00,2015,10.6,tr,7.7,18,Fresh,38,90,6,1300,1007,270,W,260,W,ESE
07/05/2015,5.00,2015,9.9,1.4,5.6,7,Light,17,91,6,2100,1016,210,SSW,260,W,ESE
08/05/2015,5.00,2015,10.6,4.4,0.3,15,Moderate,30,99,8,900,1010,110,ESE,250,WSW,SSW
09/05/2015,5.00,2015,11.9,tr,5.1,10,Light,28,98,6,1500,1018,260,W,270,W,ESE
10/05/2015,5.00,2015,12.2,0.2,0.1,14,Moderate,29,99,8,700,1020,200,SSW,220,SW,SW
11/05/2015,5.00,2015,13.8,0.6,8.9,11,Moderate,29,99,7,1000,1018,230,SW,220,SW,W
12/05/2015,5.00,2015,11.2,0,12.7,9,Light,23,95,3,1800,1022,290,WNW,290,WNW,W
13/05/2015,5.00,2015,9.8,8.4,0.7,8,Light,21,97,7,1700,1018,110,ESE,130,SE,WSW
14/05/2015,5.00,2015,11.2,tr,5.1,10,Light,28,99,7,1700,1009,230,SW,230,SW,W
15/05/2015,5.00,2015,10.5,0.2,6.3,7,Light,20,99,6,1600,1023,30,NNE,310,NW,SW
16/05/2015,5.00,2015,11.7,0,10.9,11,Moderate,22,100,5,1500,1029,300,WNW,290,WNW,SW
17/05/2015,5.00,2015,10.6,2.4,1.3,9,Light,21,92,6,2300,1027,310,NW,210,SSW,WNW
18/05/2015,5.00,2015,10.8,3.6,6.6,17,Fresh,38,100,7,1200,1010,290,WNW,310,NW,SE
19/05/2015,5.00,2015,9.7,0.2,8.6,16,Moderate,31,82,6,1800,1011,300,WNW,310,NW,SW
20/05/2015,5.00,2015,10.5,0,10.5,10,Light,21,90,5,2600,1022,350,N,330,NNW,NW
21/05/2015,5.00,2015,11.1,0.2,7.5,8,Light,17,97,6,1700,1029,300,WNW,290,WNW,WNW
22/05/2015,5.00,2015,11.7,0.2,0,7,Light,14,100,8,300,1028,280,W,280,W,SSW
23/05/2015,5.00,2015,12.2,0.6,7.8,5,Light,12,100,7,400,1026,10,N,350,N,NW
24/05/2015,5.00,2015,11.7,tr,0.1,7,Light,16,100,8,700,1023,280,W,290,WNW,NW
25/05/2015,5.00,2015,12.2,tr,0.7,8,Light,17,100,7,1000,1023,330,NNW,330,NNW,NNW
26/05/2015,5.00,2015,12.7,0,9.5,8,Light,21,100,5,1700,1027,10,N,20,NNE,WNW
27/05/2015,5.00,2015,12.6,tr,9.3,9,Light,23,99,5,1600,1025,280,W,290,WNW,W
28/05/2015,5.00,2015,12.2,tr,9.3,11,Moderate,22,96,7,2000,1018,300,WNW,280,W,N
29/05/2015,5.00,2015,11.3,1.2,5.8,11,Moderate,29,92,7,2300,1013,250,WSW,270,W,WNW
30/05/2015,5.00,2015,10.5,8,6.1,10,Light,28,99,7,2200,1014,200,SSW,200,SSW,NNW
31/05/2015,5.00,2015,11.5,0.2,5.8,13,Moderate,25,99,7,1200,1011,300,WNW,220,SW,NNE
01/06/2015,6.00,2015,10.7,19,2.4,17,Fresh,42,98,8,1300,1011,220,SW,210,SSW,WNW
02/06/2015,6.00,2015,13.2,0.2,4.2,18,Fresh,37,99,7,800,1008,260,W,280,W,W
03/06/2015,6.00,2015,12.2,0,12,9,Light,22,97,3,1600,1023,290,WNW,280,W,W
04/06/2015,6.00,2015,12.0,tr,8.8,9,Light,26,99,4,1900,1022,140,SE,140,SE,SSW
05/06/2015,6.00,2015,12.1,tr,7.9,10,Light,22,99,5,1400,1018,290,WNW,290,WNW,SW
06/06/2015,6.00,2015,11.1,0,13.6,10,Light,21,90,3,2300,1027,300,WNW,260,W,SSW
07/06/2015,6.00,2015,11.2,0,13.8,9,Light,22,88,4,2700,1033,20,NNE,30,NNE,W
08/06/2015,6.00,2015,11.7,0,14.5,12,Moderate,29,85,2,3000,1034,30,NNE,30,NNE,W
09/06/2015,6.00,2015,11.6,0,8.7,11,Moderate,30,86,4,3200,1032,60,ENE,30,NNE,SE
10/06/2015,6.00,2015,11.6,tr,14.6,11,Moderate,24,74,2,3000,1026,60,ENE,40,NE,WNW
11/06/2015,6.00,2015,14.6,5,4.5,15,Moderate,34,93,7,1400,1014,110,ESE,100,E,W
12/06/2015,6.00,2015,15.6,3.6,0,8,Light,24,99,8,500,1009,230,SW,110,ESE,NNE
13/06/2015,6.00,2015,14.1,tr,1.2,8,Light,19,99,7,1100,1012,240,WSW,270,W,NNE
14/06/2015,6.00,2015,13.4,0,8.6,7,Light,18,96,6,2100,1016,330,NNW,10,N,NNE
15/06/2015,6.00,2015,14.4,0,6.2,5,Light,15,95,7,1600,1022,20,NNE,130,SE,NE
16/06/2015,6.00,2015,13.1,tr,12.3,5,Light,15,99,5,1800,1027,300,WNW,310,NW,E
17/06/2015,6.00,2015,14.6,0.4,0.7,8,Light,21,100,8,1100,1027,280,W,300,WNW,ESE
18/06/2015,6.00,2015,14.1,0,8.8,9,Light,18,100,5,1500,1025,350,N,290,WNW,W
19/06/2015,6.00,2015,13.0,0.2,8.8,6,Light,16,99,4,1500,1026,340,NNW,330,NNW,N
20/06/2015,6.00,2015,15.1,tr,1,8,Light,19,100,8,500,1024,300,WNW,280,W,SE
21/06/2015,6.00,2015,14.1,4.4,8.6,11,Moderate,22,93,7,1600,1021,290,WNW,290,WNW,NW
22/06/2015,6.00,2015,13.5,0.8,2.1,8,Light,27,99,7,2200,1015,350,N,280,W,WNW
23/06/2015,6.00,2015,12.7,0,10.8,4,Light,10,99,5,3200,1020,340,NNW,340,NNW,WNW
24/06/2015,6.00,2015,14.2,0,8.4,6,Light,18,99,5,2800,1021,210,SSW,220,SW,NNW
25/06/2015,6.00,2015,16.8,0.4,11.4,9,Light,22,98,6,1800,1021,200,SSW,190,S,W
26/06/2015,6.00,2015,16.3,2.6,5.2,10,Light,21,99,6,800,1018,220,SW,190,S,WNW
27/06/2015,6.00,2015,15.4,1.6,5.2,9,Light,24,98,6,1600,1021,210,SSW,220,SW,W
28/06/2015,6.00,2015,16.2,0.2,3.3,10,Light,22,99,7,1100,1020,210,SSW,220,SW,NNW
29/06/2015,6.00,2015,16.1,0,6.7,8,Light,22,99,6,1400,1022,200,SSW,190,S,SW
30/06/2015,6.00,2015,19.6,tr,14.8,15,Moderate,29,97,3,1900,1014,130,SE,140,SE,S
01/07/2015,7.00,2015,17.1,tr,1.7,7,Light,22,99,6,1200,1011,300,WNW,130,SE,S
02/07/2015,7.00,2015,15.9,0.8,5.6,6,Light,16,95,5,2500,1019,200,SSW,220,SW,SW
03/07/2015,7.00,2015,17.2,0.4,6.3,14,Moderate,33,97,5,2000,1020,120,ESE,110,ESE,SW
04/07/2015,7.00,2015,18.2,14.4,8.9,12,Moderate,28,96,5,2400,1018,220,SW,200,SSW,S
05/07/2015,7.00,2015,16.0,tr,7.8,10,Light,24,95,5,1900,1018,250,WSW,210,SSW,SE
06/07/2015,7.00,2015,15.6,8,1.4,15,Moderate,33,98,7,1500,1016,190,S,200,SSW,SE
07/07/2015,7.00,2015,15.9,0.4,6.3,14,Moderate,30,98,6,1800,1011,270,W,260,W,SW
08/07/2015,7.00,2015,14.7,tr,2,12,Moderate,26,94,7,1700,1018,330,NNW,280,W,ESE
09/07/2015,7.00,2015,15.3,0,14.2,5,Light,12,96,3,2300,1024,350,N,360,N,SSW
10/07/2015,7.00,2015,17.7,tr,8.2,9,Light,24,93,5,2300,1018,140,SE,130,SE,SSW
11/07/2015,7.00,2015,16.3,7.2,6.6,11,Moderate,22,95,7,1600,1020,230,SW,220,SW,SSW
12/07/2015,7.00,2015,16.0,1.4,0,10,Light,21,99,8,600,1018,240,WSW,260,W,W
13/07/2015,7.00,2015,16.7,1,0,12,Moderate,25,99,8,500,1017,250,WSW,240,WSW,W
14/07/2015,7.00,2015,16.3,2.4,0,8,Light,21,99,8,300,1018,230,SW,230,SW,N
15/07/2015,7.00,2015,16.5,tr,8.4,9,Light,21,100,7,2100,1019,40,NE,20,NNE,SE
16/07/2015,7.00,2015,17.2,2,0.6,11,Moderate,24,99,7,1300,1013,150,SSE,190,S,SW
17/07/2015,7.00,2015,16.3,tr,5.1,9,Light,22,98,6,2400,1013,280,W,200,SSW,W
18/07/2015,7.00,2015,14.2,tr,8.7,7,Light,18,91,5,3700,1017,200,SSW,200,SSW,WSW
19/07/2015,7.00,2015,15.8,0.4,5.8,5,Light,15,96,6,2900,1011,350,N,310,NW,SW
20/07/2015,7.00,2015,17.1,1,3.5,11,Moderate,25,100,6,1000,1010,220,SW,230,SW,NNE
21/07/2015,7.00,2015,17.3,tr,4.5,12,Moderate,24,97,6,1600,1013,230,SW,230,SW,S
22/07/2015,7.00,2015,15.6,tr,7.3,8,Light,18,97,5,2600,1017,300,WNW,310,NW,SSW
23/07/2015,7.00,2015,14.7,30.2,0.1,6,Light,13,93,7,2900,1018,210,SSW,220,SW,SSW
24/07/2015,7.00,2015,14.0,2.2,0.1,13,Moderate,30,98,8,1200,1009,130,SE,110,ESE,NW
25/07/2015,7.00,2015,14.6,23,8.8,8,Light,22,83,6,3500,1018,340,NNW,350,N,SW
26/07/2015,7.00,2015,15.1,2.4,1.9,15,Moderate,33,98,7,1000,1003,260,W,170,S,SW
27/07/2015,7.00,2015,15.0,tr,2.2,18,Fresh,33,97,6,1500,1006,290,WNW,290,WNW,NW
28/07/2015,7.00,2015,14.7,0.6,7.5,13,Moderate,27,83,5,2900,1011,300,WNW,290,WNW,SW
29/07/2015,7.00,2015,14.1,0.2,8.3,11,Moderate,22,87,5,2900,1016,320,NW,330,NNW,ESE
30/07/2015,7.00,2015,14.2,0,12.4,8,Light,18,86,3,3900,1022,10,N,20,NNE,N
31/07/2015,7.00,2015,12.0,tr,12.1,5,Light,15,96,4,4100,1019,300,WNW,290,WNW,S
01/08/2015,8.00,2015,14.7,tr,1.9,8,Light,19,94,7,2700,1017,200,SSW,220,SW,WNW
02/08/2015,8.00,2015,16.7,1.2,7.8,13,Moderate,30,96,6,2300,1012,170,S,160,SSE,WNW
03/08/2015,8.00,2015,16.2,0.4,3,13,Moderate,25,97,6,1700,1010,230,SW,190,S,NNW
04/08/2015,8.00,2015,15.5,0.2,4.4,13,Moderate,31,88,7,1300,1013,240,WSW,250,WSW,NNE
05/08/2015,8.00,2015,15.7,8.6,0.3,13,Moderate,30,99,7,800,1009,180,S,180,S,WNW
06/08/2015,8.00,2015,14.6,tr,6.3,7,Light,20,99,5,2800,1014,300,WNW,280,W,SW
07/08/2015,8.00,2015,14.7,0.2,6.7,7,Light,17,96,5,3000,1019,40,NE,50,NE,SSE
08/08/2015,8.00,2015,15.6,0.6,13.9,6,Light,16,92,3,3200,1025,300,WNW,300,WNW,S
09/08/2015,8.00,2015,15.1,27.2,0,10,Light,22,100,8,600,1021,220,SW,220,SW,WSW
10/08/2015,8.00,2015,17.0,0,6.8,8,Light,18,100,6,1700,1018,300,WNW,230,SW,S
11/08/2015,8.00,2015,14.6,0,4.9,6,Light,18,96,7,2700,1021,30,NNE,20,NNE,W
12/08/2015,8.00,2015,16.1,4.2,4.8,6,Light,14,96,6,1800,1022,70,ENE,40,NE,NE
13/08/2015,8.00,2015,16.1,34.4,0,8,Light,21,100,8,400,1014,40,NE,10,N,WNW
14/08/2015,8.00,2015,15.4,0,2.2,12,Moderate,24,99,7,1400,1011,330,NNW,340,NNW,SW
15/08/2015,8.00,2015,14.2,0,6.7,7,Light,20,87,6,2000,1016,320,NW,320,NW,SW
16/08/2015,8.00,2015,14.2,0,6,6,Light,14,91,5,2500,1018,210,SSW,160,SSE,NNE
17/08/2015,8.00,2015,14.0,0,11.9,4,Light,13,95,4,2800,1019,350,N,360,N,NE
18/08/2015,8.00,2015,15.2,8.2,9.3,5,Light,12,97,5,2500,1017,300,WNW,340,NNW,N
19/08/2015,8.00,2015,15.4,4.2,0,9,Light,24,99,8,1100,1015,200,SSW,210,SSW,NNW
20/08/2015,8.00,2015,16.7,7.4,0,11,Moderate,25,100,8,500,1018,210,SSW,210,SSW,NW
21/08/2015,8.00,2015,17.2,10.6,0,11,Moderate,27,100,8,400,1017,200,SSW,190,S,SSE
22/08/2015,8.00,2015,15.9,23.6,0,5,Light,16,100,8,600,1012,10,N,320,NW,N
23/08/2015,8.00,2015,14.8,5.6,5.2,6,Light,16,98,6,3200,1003,300,WNW,310,NW,NNW
24/08/2015,8.00,2015,14.2,8.2,2.8,10,Light,23,95,6,2300,1003,40,NE,320,NW,SSW
25/08/2015,8.00,2015,14.7,24.2,0.7,12,Moderate,34,99,7,1200,1005,190,S,260,W,SSW
26/08/2015,8.00,2015,16.5,1,6.3,13,Moderate,36,98,6,1300,1002,240,WSW,190,S,S
27/08/2015,8.00,2015,15.1,tr,6.8,8,Light,20,95,5,2400,1008,240,WSW,250,WSW,NW
28/08/2015,8.00,2015,15.0,tr,7.6,8,Light,25,94,5,2200,1016,230,SW,240,WSW,NW
29/08/2015,8.00,2015,16.0,1.8,0.6,4,Light,10,96,7,2300,1019,180,S,190,S,NW
30/08/2015,8.00,2015,15.0,3,0,7,Light,19,97,8,2000,1018,30,NNE,40,NE,W
31/08/2015,8.00,2015,15.3,0,9,11,Moderate,22,98,4,2900,1017,360,N,360,N,S
01/09/2015,9.00,2015,14.3,1.8,7.7,7,Light,18,95,3,3300,1022,350,N,20,NNE,WSW
02/09/2015,9.00,2015,12.8,1.2,3.2,7,Light,18,92,6,3100,1021,360,N,350,N,WSW
03/09/2015,9.00,2015,13.0,0.6,1.2,8,Light,20,81,7,3900,1020,350,N,340,NNW,S
04/09/2015,9.00,2015,13.0,tr,0.7,9,Light,20,94,7,2900,1021,10,N,20,NNE,NE
05/09/2015,9.00,2015,14.3,tr,3.3,10,Light,21,90,6,2100,1024,30,NNE,10,N,N
06/09/2015,9.00,2015,12.6,0,12.1,7,Light,16,95,2,2400,1030,30,NNE,30,NNE,NNE
07/09/2015,9.00,2015,13.5,0.2,9.3,4,Light,11,97,3,2600,1031,50,NE,40,NE,N
08/09/2015,9.00,2015,13.7,tr,7.8,9,Light,25,98,3,1700,1025,120,ESE,120,ESE,NNW
09/09/2015,9.00,2015,15.9,0,6.3,13,Moderate,28,89,4,1900,1019,120,ESE,120,ESE,NNE
10/09/2015,9.00,2015,17.0,0,10.5,14,Moderate,26,92,4,1100,1017,120,ESE,110,ESE,N
11/09/2015,9.00,2015,15.8,23.6,0,11,Moderate,28,97,8,800,1009,180,S,200,SSW,NNE
12/09/2015,9.00,2015,14.5,0.4,4.7,11,Moderate,27,98,7,2300,1008,280,W,300,WNW,NE
13/09/2015,9.00,2015,14.7,11.6,4.3,10,Light,25,99,7,2200,1001,140,SE,130,SE,ESE
14/09/2015,9.00,2015,12.4,7.2,4.2,15,Moderate,40,99,7,1200,995,290,WNW,290,WNW,ESE
15/09/2015,9.00,2015,13.0,1.8,2.3,7,Light,30,95,7,1700,997,280,W,270,W,ESE
16/09/2015,9.00,2015,13.1,tr,1.1,11,Moderate,25,89,7,2000,990,70,ENE,20,NNE,SSW
17/09/2015,9.00,2015,13.7,4.2,3.3,8,Light,23,98,5,2400,1001,230,SW,240,WSW,WNW
18/09/2015,9.00,2015,13.5,tr,1.8,8,Light,20,98,6,2200,1014,350,N,320,NW,SE
19/09/2015,9.00,2015,13.7,0.2,5.9,3,Light,9,100,5,2800,1026,340,NNW,360,N,WNW
20/09/2015,9.00,2015,13.1,3,0.2,6,Light,16,99,6,2800,1024,200,SSW,230,SW,W
21/09/2015,9.00,2015,14.4,9.8,5.2,11,Moderate,24,99,7,1800,1013,210,SSW,210,SSW,NNE
22/09/2015,9.00,2015,12.3,1.8,4.9,13,Moderate,31,92,5,2400,1008,340,NNW,330,NNW,WSW
23/09/2015,9.00,2015,12.6,2.2,1.7,8,Light,20,98,7,1900,1014,250,WSW,260,W,NW
24/09/2015,9.00,2015,14.3,0.4,7.5,10,Light,25,98,5,1400,1017,290,WNW,290,WNW,N
25/09/2015,9.00,2015,12.6,0,8.6,4,Light,10,92,3,1000,1024,80,E,300,WNW,SW
26/09/2015,9.00,2015,12.4,0,10.5,6,Light,16,92,1,1600,1027,110,ESE,130,SE,SSW
27/09/2015,9.00,2015,12.4,0.2,8.3,7,Light,20,97,2,2100,1031,90,E,110,ESE,NNW
28/09/2015,9.00,2015,13.4,0,10.9,12,Moderate,31,92,3,2000,1032,120,ESE,110,ESE,W
29/09/2015,9.00,2015,15.1,0,7.9,10,Light,27,89,5,2300,1031,100,E,110,ESE,WNW
30/09/2015,9.00,2015,12.8,0,9,10,Light,31,86,2,2300,1030,80,E,80,E,WNW
01/10/2015,10.00,2015,12.9,0,10.3,6,Light,19,93,1,1100,1030,80,E,80,E,SE
02/10/2015,10.00,2015,12.1,0,10.6,5,Light,15,92,0,1000,1024,80,E,40,NE,ESE
03/10/2015,10.00,2015,11.4,0,10.1,4,Light,12,97,3,700,1016,40,NE,10,N,ESE
04/10/2015,10.00,2015,12.1,7.2,0.1,13,Moderate,43,98,6,700,1008,150,SSE,130,SE,ESE
05/10/2015,10.00,2015,14.0,5.2,0,15,Moderate,32,100,8,300,997,190,S,200,SSW,E
06/10/2015,10.00,2015,14.6,1.6,0.7,12,Moderate,34,99,7,700,995,300,WNW,310,NW,E
07/10/2015,10.00,2015,12.7,0.6,3.6,n/a,#N/A,n/a,91,7,2300,1015,230,SW,240,WSW,NE
08/10/2015,10.00,2015,12.8,0.4,5.8,6,Light,15,96,4,1600,1021,170,S,210,SSW,N
09/10/2015,10.00,2015,12.7,tr,7.5,7,Light,20,96,5,2000,1021,140,SE,140,SE,SE
10/10/2015,10.00,2015,12.7,0,0,8,Light,26,93,8,1300,1017,80,E,100,E,SSW
11/10/2015,10.00,2015,13.9,0,0.6,7,Light,17,93,6,900,1016,100,E,110,ESE,NW
12/10/2015,10.00,2015,11.0,0,8.3,10,Light,26,92,2,1400,1022,30,NNE,30,NNE,WSW
13/10/2015,10.00,2015,10.1,0,9,7,Light,19,81,3,2900,1025,60,ENE,30,NNE,SSW
14/10/2015,10.00,2015,10.0,0,6.2,5,Light,13,80,4,2600,1025,90,E,100,E,SE
15/10/2015,10.00,2015,10.0,0,4.1,5,Light,15,87,4,2200,1023,70,ENE,50,NE,E
16/10/2015,10.00,2015,10.9,0,1.3,6,Light,16,85,7,1300,1024,60,ENE,40,NE,ESE
17/10/2015,10.00,2015,11.0,0,0,6,Light,17,89,7,1600,1021,70,ENE,60,ENE,NNE
18/10/2015,10.00,2015,13.4,0,4.4,6,Light,13,88,7,2100,1021,80,E,80,E,NNE
19/10/2015,10.00,2015,12.3,0,0,5,Light,14,92,7,1900,1025,40,NE,30,NNE,E
20/10/2015,10.00,2015,12.1,2.8,2.9,6,Light,14,90,6,2700,1029,20,NNE,10,N,NE
21/10/2015,10.00,2015,12.2,0.4,0,11,Moderate,24,98,8,1000,1022,300,WNW,300,WNW,NE
22/10/2015,10.00,2015,12.8,tr,0,8,Light,28,97,7,1400,1021,290,WNW,280,W,ENE
23/10/2015,10.00,2015,12.0,6.4,0.5,8,Light,25,96,8,2200,1019,200,SSW,210,SSW,E
24/10/2015,10.00,2015,12.1,tr,3,11,Moderate,27,98,6,1600,1016,340,NNW,350,N,
25/10/2015,10.00,2015,9.8,0.2,6.4,8,Light,21,82,5,2300,1023,160,SSE,210,SSW,
26/10/2015,10.00,2015,11.8,16,0,15,Moderate,30,96,8,1100,1007,150,SSE,150,SSE,
27/10/2015,10.00,2015,12.5,3.2,0.9,8,Light,22,98,6,1300,1005,170,S,180,S,
28/10/2015,10.00,2015,12.3,7.4,3.4,12,Moderate,26,94,4,1400,1004,150,SSE,190,S,
29/10/2015,10.00,2015,12.8,8.2,1.9,10,Light,37,98,8,900,1008,190,S,200,SSW,
30/10/2015,10.00,2015,13.3,0.4,0,13,Moderate,38,98,8,1000,1011,180,S,190,S,
31/10/2015,10.00,2015,14.7,0.2,0.9,6,Light,20,98,6,1100,1019,140,SE,150,SSE,
27/10/2015,10.00,2015,12.5,3.2,0.9,8,Light,22,98,6,1300,1005,170,S,180,S,
28/10/2015,10.00,2015,12.3,7.4,3.4,12,Moderate,26,94,4,1400,1004,150,SSE,190,S,
29/10/2015,10.00,2015,12.8,8.2,1.9,10,Light,37,98,8,900,1008,190,S,200,SSW,
30/10/2015,10.00,2015,13.3,0.4,0,13,Moderate,38,98,8,1000,1011,180,S,190,S,
31/10/2015,10.00,2015,14.7,0.2,0.9,6,Light,20,98,6,1100,1019,140,SE,150,SSE,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
